[18:45:12] [ServerMain/INFO]: Building unoptimized datafixer
[18:45:13] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[18:45:14] [ServerMain/INFO]: Loaded 7 recipes
[18:45:15] [ServerMain/INFO]: Loaded 1179 advancements
[18:45:15] [Server thread/INFO]: Starting minecraft server version 1.19.2
[18:45:15] [Server thread/INFO]: Loading properties
[18:45:15] [Server thread/INFO]: Default game type: SURVIVAL
[18:45:15] [Server thread/INFO]: Generating keypair
[18:45:16] [Server thread/INFO]: Starting Minecraft server on *:25565
[18:45:16] [Server thread/INFO]: Using epoll channel type
[18:45:16] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[18:45:16] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[18:45:16] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[18:45:16] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[18:45:16] [Server thread/INFO]: Preparing level "world"
[18:46:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:16] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:16] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:18] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:18] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:19] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:19] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:20] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:20] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:22] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[18:46:23] [Worker-Main-1/INFO]: Preparing spawn area: 5%
[18:46:24] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[18:46:24] [Worker-Main-1/INFO]: Preparing spawn area: 15%
[18:46:24] [Worker-Main-1/INFO]: Preparing spawn area: 22%
[18:46:25] [Worker-Main-1/INFO]: Preparing spawn area: 28%
[18:46:25] [Worker-Main-1/INFO]: Preparing spawn area: 32%
[18:46:26] [Worker-Main-1/INFO]: Preparing spawn area: 39%
[18:46:26] [Worker-Main-1/INFO]: Preparing spawn area: 46%
[18:46:27] [Worker-Main-1/INFO]: Preparing spawn area: 47%
[18:46:27] [Worker-Main-1/INFO]: Preparing spawn area: 56%
[18:46:28] [Worker-Main-1/INFO]: Preparing spawn area: 61%
[18:46:28] [Worker-Main-1/INFO]: Preparing spawn area: 66%
[18:46:29] [Worker-Main-1/INFO]: Preparing spawn area: 75%
[18:46:29] [Worker-Main-1/INFO]: Preparing spawn area: 82%
[18:46:30] [Worker-Main-1/INFO]: Preparing spawn area: 83%
[18:46:30] [Worker-Main-1/INFO]: Preparing spawn area: 94%
[18:46:31] [Server thread/INFO]: Time elapsed: 58513 ms
[18:46:31] [Server thread/INFO]: Done (75.473s)! For help, type "help"
[18:48:40] [Server thread/INFO]: Mr_blaza23[/186.99.103.201:55467] logged in with entity id 211 at (3.5, 88.0, 5.5)
[18:48:40] [Server thread/INFO]: Mr_blaza23 joined the game
[18:50:05] [Server thread/INFO]: Mr_blaza23 lost connection: Disconnected
[18:50:05] [Server thread/INFO]: Mr_blaza23 left the game
